ontology; count_triples; runtime; exitcode
ontologies/2005-06-03/2005-06-03n3; 538; 20; 0
ontologies/2013-12-19/2013-12-19n3; 481; 21; 0
ontologies/2012-07-27/2012-07-27n3; 2304; 28; 0
ontologies/2007-11-02/2007-11-02n3; 1737; 23; 0
ontologies/2013-02-07/2013-02-07n3; 69; 18; 0
ontologies/2015-09-17/2015-09-17n3; 82; 19; 0
ontologies/2011-08-05/2011-08-05n3; 84; 18; 0
ontologies/2013-05-08/2013-05-08n3; 70; 25; 0
ontologies/2013-04-24/2013-04-24n3; 257; 19; 0
ontologies/2016-02-04/2016-02-04n3; 953; 23; 0
ontologies/2010-09-09/2010-09-09n3; 560; 20; 0
ontologies/2015-03-29/2015-03-29n3; 328; 21; 0
ontologies/2016-05-18/2016-05-18n3; 151; 19; 0
ontologies/2015-03-10/2015-03-10n3; 102; 20; 0
ontologies/2012-10-06/2012-10-06n3; 469; 21; 0
ontologies/2019-06-17/2019-06-17n3; 1749; 26; 0
ontologies/2017-05-15/2017-05-15n3; 358; 21; 0
ontologies/2012-07-04/2012-07-04n3; 34; 18; 0
ontologies/2019-01-16/2019-01-16n3; 2974; 32; 0
ontologies/2021-07-26/2021-07-26n3; 524; 20; 0
ontologies/2017-04-01/2017-04-01n3; 90; 19; 0
ontologies/2020-05-29/2020-05-29n3; 913; 23; 0
ontologies/2012-06-05/2012-06-05n3; 114; 19; 0
ontologies/2017-02-09/2017-02-09n3; 2470; 35; 0
ontologies/2014-01-28/2014-01-28n3; 2813; 38; 0
ontologies/2011-02-22/2011-02-22n3; 274; 19; 0
ontologies/2011-05-05/2011-05-05n3; 271; 20; 0
ontologies/2007-10-29/2007-10-29n3; 651; 22; 0
ontologies/2013-12-14/2013-12-14n3; 142; 20; 0
ontologies/2012-05-02/2012-05-02n3; 227; 19; 0
ontologies/2014-01-14/2014-01-14n3; 631; 22; 0
ontologies/2012-01-26/2012-01-26n3; 280; 21; 0
ontologies/2015-10-07/2015-10-07n3; 842; 21; 0
ontologies/2012-02-13/2012-02-13n3; 482; 21; 0
